energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
77.34,427887004,56929,291028,280620,10179,106748491,33106988443,26341412674,1620438142,33866989060,16955.5,33130656197,0,0,0,0,726,0,0,90,0,189242,0,37,2875,501,0,3092,0,196,348,103442,1,369,163,344,780,0,125,76,269,35,21263,941,302,1,0,2123,18954,50,0,908,1655,0,668,1651,2062,0,4,0,0,0,0,3,0,0,0,25414,0,8550,104,0,6,157,0,1303,0,0,0,452,3,75,335,832,2,0,348,2,2,403,13,21945,0
77.85,431258165,56397,291978,281558,10299,105945599,33376554371,26253850141,1624588160,33781313700,16912.65,33736217566,0,0,0,0,729,0,0,88,0,185538,0,39,2782,493,0,3119,0,163,309,106305,1,371,163,336,772,0,124,82,264,34,21023,925,311,1,0,2032,18257,49,0,866,1556,0,648,1612,2004,0,4,0,0,0,0,3,0,0,0,25243,0,8557,105,0,4,161,0,1301,0,0,0,448,3,75,330,819,2,0,309,2,2,403,12,21697,0
76.13,440979013,58136,291531,280915,10474,108699705,33490303652,27133509354,1635138592,34911022600,17478.02,33462408194,0,0,0,0,753,0,0,85,0,199349,0,38,2929,442,0,3176,0,201,365,112751,1,383,167,332,791,0,125,73,243,34,21557,978,285,1,0,2212,20928,51,0,894,1525,0,645,1659,2118,0,4,0,0,0,0,3,0,0,0,26430,0,8640,111,0,4,157,0,1344,0,0,0,447,3,74,317,868,2,0,365,2,2,410,12,22473,0
75.54,434060465,56613,271580,261448,10011,107010410,33331173032,26523739718,1601787465,34126264480,17085.3,33332507645,0,0,0,0,855,0,0,90,0,188054,0,36,2847,492,0,3242,0,201,323,106774,1,371,170,290,786,0,124,64,264,34,21761,941,284,1,0,2159,17585,50,0,852,1587,0,638,1624,2028,0,4,0,0,0,0,3,0,0,0,25514,0,8486,105,0,4,154,0,1290,0,0,0,455,3,74,338,828,2,0,323,2,2,408,12,22029,0
74.69,421803762,55743,274374,263896,10457,104962177,32735461836,25833883713,1561251676,33277887060,16659.68,32890719262,0,0,0,0,734,0,0,88,0,183555,0,37,2804,502,0,3118,0,186,312,101390,1,365,164,355,774,0,124,58,268,33,21938,923,335,1,0,2081,18698,51,0,880,1482,0,645,1609,2008,0,4,0,0,0,0,3,0,0,0,25385,0,8535,102,0,6,156,0,1311,0,0,0,454,3,75,328,818,2,0,312,2,1,402,13,21888,0
76.48,429316855,56096,282311,272163,10135,105541280,33448923671,26501908017,1612891029,34103113520,17073.95,33629345737,0,0,0,0,725,0,0,90,0,184914,0,38,2802,503,0,3076,0,186,306,104297,1,373,163,303,781,0,125,66,272,35,21250,927,306,1,0,2065,19155,50,0,853,1533,0,637,1616,2002,0,4,0,0,0,0,3,0,0,0,25265,0,8495,106,0,6,157,0,1270,0,0,0,449,3,73,341,818,2,0,306,2,2,404,13,21694,0
74.34,441334328,57752,299884,289653,10140,107718695,33913715328,27071795143,1651569509,34843315140,17444.46,33905251458,0,0,0,0,975,0,0,88,0,194463,0,36,2795,516,0,2998,0,165,307,108273,1,376,159,305,790,0,124,72,273,33,21631,921,294,1,0,2006,20924,50,0,862,1499,0,655,1619,2013,0,4,0,0,0,0,3,0,0,0,25686,0,8478,108,0,4,156,0,1303,0,0,0,433,3,76,333,817,2,0,307,2,1,404,12,22157,0
77.31,427714340,55872,279517,269490,9855,105853145,32933575030,26214156721,1587377545,33701918940,16873.13,33049682699,0,0,0,0,753,0,0,89,0,188392,0,37,2821,501,0,3198,0,178,319,106404,1,379,167,348,783,0,123,76,265,35,21895,946,303,1,0,2126,19589,51,0,917,1485,0,640,1636,2044,0,4,0,0,0,0,3,0,0,0,25357,0,8542,109,0,6,156,0,1309,0,0,0,451,3,74,327,832,2,0,319,2,1,410,13,21772,0
72.52,440525091,57297,281212,271124,9980,107532592,33752702454,26786548561,1608908231,34498407120,17270.98,34095214713,0,0,0,0,743,0,0,88,0,194028,0,37,2614,508,0,3065,0,174,313,105378,1,387,161,324,780,0,124,48,266,32,21511,930,267,1,0,2051,16788,50,0,864,1654,0,648,1626,1907,0,4,0,0,0,0,3,0,0,0,25422,0,8395,113,0,6,155,0,1321,0,0,0,435,3,73,331,824,2,0,313,2,1,403,13,21969,0
76.69,854061211,115617,452143,440443,11668,249056460,46616412572,43591354256,3050246768,56284500100,28180.14,47089407228,0,0,0,0,962,0,0,91,0,223657,0,40,2629,477,0,3150,4,165,311,133405,2,374,162,373,4126,0,136,52,259,35,21384,924,4270,2,0,2037,22302,55,0,746,1497,0,694,1562,1870,0,5,0,0,0,0,3,0,0,0,26313,0,9028,107,0,4,155,0,1393,0,0,0,461,4,75,341,823,2,0,311,2,0,419,12,23316,0
