energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
46.8,55466793,18835,1016,437,579,8651217,8270761583,3474127961,284153399,4575705160,2290.29,8266374286,0.821939,1.490689,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9383,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9385,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9505,0
47.11,55757501,18144,1015,436,579,8778931,7982493806,3598061097,282081211,4735084940,2370,7960470027,0.801531,1.592235,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9039,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9041,0,1,1,257,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9161,0
47.13,56414156,19130,1016,437,579,8711242,8410950608,3591105802,290857576,4715522400,2360.49,8400450687,0.880932,1.505213,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9530,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9532,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9651,0
47.23,82113637,19378,1013,434,579,13948392,8866815525,4126157342,280573726,5405051240,2705.61,8865286429,0.953088,1.774151,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9436,0,1,1,75,4,0,12,3,3,2,0,0,7,3,19,1,0,9438,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9557,0
47.23,80644355,18682,1013,434,579,13734305,8570095660,3964336229,271139288,5201630480,2603.82,8575404485,0.81166,1.817923,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9127,0,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,9129,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9249,0
47.07,54775183,18806,1014,435,579,8560741,8288313689,3536270227,284427422,4654192780,2329.7,8272199627,0.8775,1.471127,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9372,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9374,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9494,0
47.03,63516440,21688,1014,435,579,10160275,8007578579,3688521788,241838828,4871978360,2438.7,8001726815,0.855249,1.620695,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9673,3,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,9675,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9794,0
47.17,62612741,21419,1015,436,579,9691941,7969879901,3441993583,230120130,4560436800,2282.63,7942917027,0.848898,1.466736,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9598,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9600,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9717,0
46.85,55011501,18802,1014,435,579,8618444,8266347531,3447661115,282887057,4544847900,2274.92,8251132655,0.859351,1.432379,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9368,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9370,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,38,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9489,0
47.17,56074654,19010,1016,437,579,8781620,8356557264,3492662475,288526738,4602532500,2303.69,8353962934,0.78898,1.54333,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9472,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9474,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9594,0
