energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
57.78,634211336,80776,1031,452,579,71382175,28032610379,42122293524,7008325263,53545984260,26812.67,28035551577,0.20348,26.576489,11848,0,72,4,4,1,16,3,2,6,36053,5928,8,2,6,0,0,1,1,76,4,5916,14,4,3,2,17770,82659,7,3,78352,2,1,2,0,0,1,259,78,0,14,182,6614,14,2,13,0,0,0,39,0,0,0,6497,0,0,0,2,34,3,1,3,5,2,4,82622,5923,1,23655,2,7,1,0,1,2,0,4,116,0
57.31,632213503,83118,1032,453,579,72314184,28112651466,42051527678,7032826987,53459667120,26768.11,28117275609,0.17458,26.561416,11896,0,71,4,4,1,16,3,1,6,36202,5951,8,2,6,0,0,1,1,76,4,5945,14,4,3,2,17844,82918,7,3,78919,2,1,2,0,0,1,260,78,0,14,182,6641,14,2,13,0,0,0,39,0,0,0,6521,0,0,0,2,34,3,1,3,5,2,4,76933,5947,1,23717,2,7,1,0,1,2,0,4,115,0
54.95,270382012,55563,1044,465,579,167154409,34739757030,45681142924,3874978661,57756491380,28926.32,34740600010,0.481841,28.419506,4061,0,72,4,4,1,16,3,2,6,12709,2035,8,2,6,0,0,1,1,76,4,2015,14,4,3,2,6093,32354,7,3,101625,2,1,2,0,0,1,260,78,0,14,182,2725,14,2,13,0,0,0,39,0,0,0,2605,0,75356,0,2,34,3,1,37838,5,2,4,30374,2030,1,8089,2,7,1,0,1,2,0,4,116,0
54.92,219472615,41690,1041,462,579,162745330,31716943949,42907856856,2749470631,54181393920,27133.33,31723586674,0.690538,26.430025,5935,0,72,4,4,1,16,3,1,6,18375,2983,8,2,6,0,0,1,1,76,4,2966,14,4,3,2,8938,47500,7,3,31693,2,1,2,0,0,1,260,78,0,14,182,3675,14,2,13,0,0,0,39,0,0,0,3552,0,87013,0,2,34,3,1,22149,5,2,4,41564,2979,1,11844,2,7,1,0,1,2,0,4,115,0
53.7,261399899,54485,1029,450,579,162926991,35477351078,45759381206,3989645319,57816027080,28955.9,35471284576,0.586242,28.347669,4063,0,72,4,4,1,16,3,1,6,12721,2035,8,2,6,0,0,1,1,76,4,2023,14,4,3,2,6096,28364,7,3,107647,2,1,2,0,0,1,260,78,0,14,182,2725,14,2,13,0,0,0,39,0,0,0,2604,0,82596,0,2,34,3,1,38351,5,2,4,28370,2031,1,8096,2,7,1,0,1,2,0,4,115,0
54.19,610034106,75465,1040,461,579,74948555,27169928763,41952590962,6875752816,53310483560,26694.57,27165630609,0.239135,26.43011,11810,0,72,3,4,1,16,3,1,5,35923,5908,8,2,6,0,0,1,1,76,3,5893,12,3,3,1,17711,94057,6,2,73983,2,1,2,0,0,1,259,78,0,14,182,6597,14,2,12,0,0,0,28,0,0,0,6477,0,0,0,2,31,3,1,3,4,2,3,82373,5904,1,23561,2,5,1,0,1,2,0,4,113,0
54.21,609450767,77432,1043,464,579,74677643,27451530009,42203760862,6905502102,53569580100,26824.31,27447207306,0.272259,26.519701,11852,0,72,4,4,1,16,3,2,6,36067,5930,8,2,6,0,0,1,1,76,4,5919,14,4,3,2,17777,94437,7,3,77229,2,1,2,0,0,1,260,78,0,14,182,6619,14,2,13,0,0,0,39,0,0,0,6500,0,0,0,2,34,3,1,3,5,2,4,88595,5925,1,23676,2,7,1,0,1,2,0,4,116,0
52.78,225012666,44902,1034,455,579,159521491,31893356182,42788159340,2795464095,54054335200,27071.22,31901509231,0.600994,26.456687,5900,0,72,4,4,1,16,3,2,6,18261,2963,8,2,6,0,0,1,1,76,4,2942,14,4,3,2,8877,41291,7,3,124597,2,1,2,0,0,1,260,78,0,14,182,3653,14,2,13,0,0,0,39,0,0,0,3532,0,82083,0,2,34,3,1,10315,4,2,4,38325,2958,1,11797,2,7,1,0,1,2,0,4,115,0
53.39,710612698,72731,1030,451,579,74734447,28886600694,42255261378,7595526100,53613604060,26846.16,28874730766,0.166469,26.650361,13068,0,72,4,4,1,16,3,2,6,39695,6538,8,2,6,0,0,1,1,76,4,6528,14,4,3,2,19598,91170,7,3,77713,2,1,2,0,0,1,260,78,0,14,182,7226,14,2,13,0,0,0,39,0,0,0,7106,0,0,0,2,34,3,1,3,5,2,4,91208,6533,1,26085,2,7,1,0,1,2,0,4,116,0
54.93,663065763,75687,1032,453,579,73444861,28374023014,42099063154,7293911140,53485703440,26782.22,28382339673,0.220424,26.529012,12472,0,72,4,4,1,16,3,2,6,37919,6240,8,2,6,0,0,1,1,76,4,6232,14,4,3,2,18706,86965,7,3,77189,2,1,2,0,0,1,260,78,0,14,182,6930,14,2,13,0,0,0,39,0,0,0,6807,0,0,0,2,34,3,1,3,5,2,4,80791,6235,1,24903,2,7,1,0,1,2,0,4,115,0
